label,message
ham,"Hey, are we still meeting for lunch today?"
spam,Congratulations! You've won a $1000 Walmart gift card. Go to http://bit.ly/123456 to claim now.
ham,I'll call you later. Just busy at work.
ham,Don't forget the meeting at 10 AM tomorrow.
spam,URGENT! Your account has been compromised. Click here to secure it.
spam,You have been selected for a free cruise. Call now!
ham,Can you pick up some groceries on your way home?
spam,Win money fast! No credit checks. Apply now!
ham,Let's catch up over coffee this weekend.
spam,Exclusive deal for you! Buy one get one free. Visit our website.
